from,to,weight,relationship,year beginning,year end
jase,abfo,3,2,1968,1969
ropo,abfo,3,2,1968,1969
shta,abfo,3,2,1968,1969
wofr,abfo,3,5,1967,1969
chma,afbu,3,5,2007,2015
shta,bapa,3,2,1965,1969
MF,BB,2,1,99,99
dasm,bebe,2,2,99,99
chma,becr,1,3,1969,1969
chma,brda,3,2,99,99
gahi,brda,2,3,1969,1969
jase,brle,2,2,1964,1969
shta,brle,2,2,1967,1969
abfo,CD,1,99,1969,1969
chma,CD,1,99,1969,1969
chwa,CD,1,99,1969,1969
jase,CD,1,99,1969,1969
leva,CD,1,99,1969,1969
pakr,CD,1,99,1969,1969
ropo,CD,1,99,1967,1969
shta,CD,1,99,1967,1969
stpa,CD,1,99,99,1969
wiga,CD,1,99,1967,1969
wofr,CD,1,99,1969,1969
chma,chju,1,4,1955,1993
chma,chlu,3,4,1956,99
afbu,chma,3,5,2007,2015
becr,chma,1,1,1969,1969
brda,chma,3,2,99,99
chlu,chma,3,4,1956,99
dade,chma,1,2,99,1969
dasm,chma,3,1,99,99
dewi,chma,2,1,1968,1969
gahi,chma,2,2,99,99
hebe,chma,1,1,1968,1968
kama,chma,3,3,1942,99
leva,chma,1,2,1968,99
lika,chma,3,2,1969,1970
lyfr,chma,3,2,1967,99
mabr,chma,3,5,1967,1977
mama,chma,1,1,1967,99
pakr,chma,2,2,1967,99
pawa,chma,2,2,1968,1969
romo,chma,1,1,1967,99
rosm,chma,3,2,1967,1969
rowi,chma,3,5,1955,1958
stbo,chma,1,99,99,99
stmc,chma,1,1,1968,1968
teme,chma,1,1,1968,1968
vama,chma,3,4,1968,99
vibu,chma,1,1,1969,99
chma,chwa,3,2,99,99
leva,chwa,3,2,1968,99
lika,chwa,1,2,1969,1970
kama,cosc,2,5,1933,1934
leva,CW,1,99,1971,2020
pakr,CW,1,99,1971,2020
chma,dade,3,2,99,1969
shco,dade,3,5,99,99
bebe,dasm,2,2,99,99
chma,dasm,3,1,99,99
erde,dasm,3,2,99,99
frme,dasm,3,2,99,99
shta,dema,1,2,1967,1969
chma,dewi,2,1,1968,1969
chma,dosh,3,3,1960,1969
stgr,dosh,3,6,1969,99
dasm,erde,3,2,99,99
rosm,erde,3,2,99,99
mara,FI,1,99,99,99
ropo,FI,1,99,99,99
shta,FI,1,99,99,1969
shwe,FI,1,99,99,99
dasm,frme,3,2,99,99
mifa,frsi,3,5,99,99
lela,frst,3,4,1954,1969
rola,frst,3,4,1954,1969
brda,gahi,2,3,1969,1969
chma,gahi,2,3,1969,1969
robe,gahi,1,3,1969,99
dosh,gesp,3,2,1960,1969
chma,hebe,1,1,1968,1968
chma,ivka,1,99,99,99
abfo,jase,3,2,1968,1969
ropo,jase,3,2,1968,99
shta,jase,3,5,1964,1969
wofr,jase,3,2,1968,1969
sago,jopu,2,5,1965,1968
chma,kama,3,3,1942,99
wima,kama,2,5,1934,99
chma,lela,1,6,1969,1969
chwa,lela,1,6,1969,1969
leva,lela,1,6,1969,1969
pakr,lela,1,6,1969,1969
rola,lela,3,5,1954,1969
chlu,lest,3,4,1956,99
chma,leva,1,2,1968,99
chwa,leva,3,2,1968,99
lika,leva,1,2,1969,1970
lika,leva,1,3,1970,1971
robe,leva,3,5,1968,99
chma,lika,1,2,1969,1970
chwa,lika,1,2,1969,1970
leva,lika,1,2,1969,1970
pakr,lika,1,2,1969,1970
suat,lika,1,2,1969,1970
chma,lyfr,3,2,1967,99
rohe,lyfr,1,1,1969,1970
chma,mabr,3,5,1967,1977
vama,mabr,3,4,1968,99
chma,mama,1,1,1967,99
shta,mara,2,2,1960,1969
waev,meka,2,2,99,99
alro,MF,3,2,1968,99
BB,MF,2,1,99,99
chma,MF,1,99,1960,99
chwa,MF,1,99,99,99
dade,MF,1,99,99,1969
dasm,MF,2,1,1968,99
dosh,MF,2,99,99,99
gahi,MF,1,99,1968,1969
leva,MF,1,99,1968,99
lika,MF,1,99,1969,1970
lyfr,MF,3,99,99,99
mabr,MF,2,2,1967,1977
pakr,MF,1,99,1967,99
pawa,MF,1,99,1968,99
robe,MF,1,99,99,99
rosm,MF,2,99,1968,99
sago,MF,3,99,1968,99
shta,mifa,2,2,1966,1969
pakr,pafi,1,1,1969,1971
chma,pakr,2,2,1967,99
lika,pakr,1,2,1969,1970
pafi,pakr,1,1,1969,1971
ropo,papo,3,4,1969,99
shta,papo,3,4,1969,1969
wiga,papo,1,2,1967,99
chma,pawa,3,2,1968,1969
shta,phfo,3,5,1963,1969
chma,PK,1,99,1967,99
shta,ribe,2,2,99,1969
chma,robe,2,2,99,99
leva,robe,3,5,1968,99
lyfr,rohe,2,1,1969,1970
chma,rohu,1,3,1970,1970
chma,rola,1,6,1969,99
chwa,rola,1,6,1969,99
lela,rola,3,5,1954,1969
leva,rola,1,6,1969,99
pakr,rola,1,6,1969,99
chma,romo,2,1,1967,99
abfo,ropo,3,2,1968,1969
brle,ropo,1,2,1967,99
jase,ropo,3,2,1966,1969
papo,ropo,3,4,1969,99
shta,ropo,3,5,1966,1969
teme,ropo,1,1,1968,1968
wich,ropo,1,1,1968,1969
wofr,ropo,3,2,1960,1969
chma,rosm,3,2,1967,1969
erde,rosm,3,2,99,99
chju,rowi,3,4,1955,1993
chma,rowi,3,5,1955,1958
jopu,sago,2,5,1965,1968
dade,shco,3,5,99,99
abfo,shta,3,2,1968,1969
jase,shta,3,5,1964,1969
papo,shta,3,4,1969,1969
ropo,shta,3,5,1968,1969
teme,shta,1,1,1968,1968
wich,shta,1,1,1968,1969
wofr,shta,2,2,1968,1969
shta,shwe,2,2,99,1969
chma,SR,1,99,99,99
chwa,SR,1,99,99,99
dade,SR,1,99,99,1969
dosh,SR,1,99,1960,1969
lika,SR,1,99,1969,1970
pakr,SR,1,99,1967,99
chma,ST,1,99,99,99
chma,stbo,1,99,99,99
chma,stmc,1,1,1968,1968
chwa,stpa,1,6,1969,99
wiga,stpa,2,2,99,99
lika,suat,1,2,1969,1970
chma,teme,1,1,1968,1968
ropo,teme,1,1,1968,1968
shta,teme,1,1,1968,1968
alsp,TS,1,99,99,99
dade,TS,1,99,99,99
MF,TS,1,99,99,99
chma,vama,3,4,1968,99
mabr,vama,3,4,1968,99
chma,vibu,1,1,1969,99
maka,waev,2,2,99,99
ropo,wich,1,1,1968,1969
shta,wich,1,1,1968,1969
papo,wiga,1,2,1967,99
stpa,wiga,2,2,99,1969
kama,wima,2,5,1934,99
abfo,wofr,3,5,1967,1969
jase,wofr,3,2,1968,1969
ropo,wofr,3,2,1960,1969
shta,wofr,2,2,1968,1969
