id;name
abfo;Abigail Folger
afbu;Afton Burton
alro;Alan Rose
alsp;Alan Leroy Springer
anla;Anton LaVeys
bapa;Barbara Parkins
bebe;Bennet Berger
becr;Bernard Crowe
biva;Bill Vance
brda;Bruce Davis
brle;Bruce Lee
casm;Carol Smith
chju;Charles Manson Junior
chlu;Charles Luther Manson
chma;Charles Manson
chol;Charles Older
chwa;Charles Watson
cosc;Colonel Walker Henderson Scott Sr
dade;Danny DeCarlo
dasm;David Smith
dema;Dean Martin
dewi;Dennis Wilson
dosh;Donald Shea
edsa;Ed Sanders
erde;Dr. Ernst Dernberg
frme;Dr. Frederick Meyers
frsi;Frank Sinatra
frst;Frank Struthers
gahi;Gary Allen Hinman
gefo;Gerald Ford
gesp;George Spahn
hebe;Henry Beatly
ivka;Irving Kanarek
jafr;Jason Freeman
jase;Jay Sebring
joho;Dr. Joel Hochmann
jopu;Joel Pugh
kama;Kathleen Maddox
lela;Leno LaBianca
lest;Leona Rae Stevens
leva;Leslie Van Houten
lika;Linda Kasabian
lyfr;Lynette Fromme
mabr;Mary Brunner
maka;Dr. Marvin Katz
mama;Mary Anne McLean
mara;Martin Ransohoff
mifa;Mia Farrow
nisc;Nicolas Schreck
padu;Patty Duke
pafi;Paul Fitzgerald
pakr;Patricia Krenwinkel
papo;Paul Richard Polanski
pawa;Paul Alan Watkins
phfo;Phillippe Forquet
ribe;Richard Beymer
robe;"Robert Kenneth ""Bobby"" Beusoleil"
rohe;Robert A. Heinlein
rohu;Ronald Hughes
rola;Rosemary LaBianca
romo;Roger Moore de Gimston
ropo;Roman Polanski
rosm;Roger Smith
rowi;Rosalie Jean Willis
sago;Sandra Good
shco;Sherry Ann Cooper
shta;Sharon Tate
shwe;Sheilah Wells
stbo;Stephane Bourgoin
stgr;"Steve ""Clem"" Grogan"
stmc;Steve McQueen
stpa;Steven Parent
suat;Susan Atkins
teme;Terry Melcher
vama;Valentine Michael Manson
vihe;Verginia Heinlein
vibu;Vincent Bugliosi
waev;Dr. Wayne O. Evans
wich;Winifried Chapman
wiga;William Garretson
wima;William Eugene Manson
wofr;Wojciech Frykowski
